"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,109,"IRL","Ireland",1,"Carlow","IE.CW",NA,"","Administrative County","County","","Ceatharlach"
2,109,"IRL","Ireland",2,"Cavan","IE.CN",NA,"","Administrative County","County","","An Cabhán"
3,109,"IRL","Ireland",3,"Clare","IE.CE",NA,"","Administrative County","County","","An Clár"
4,109,"IRL","Ireland",4,"Cork","IE.CK",NA,"","Traditional County","County","","Corcaigh"
5,109,"IRL","Ireland",5,"Donegal","IE.DL",NA,"","Administrative County","County","","Dún na nGall|Tyrconnel"
6,109,"IRL","Ireland",6,"Dublin","IE.DN",NA,"","Administrative County","County","","Baile Átha Cliath"
7,109,"IRL","Ireland",7,"Galway","IE.GY",NA,"","Traditional County","County","","Gaillimh"
8,109,"IRL","Ireland",8,"Kerry","IE.KY",NA,"","Administrative County","County","","Ciarraí"
9,109,"IRL","Ireland",9,"Kildare","IE.KE",NA,"","Administrative County","County","","Cill Dara"
10,109,"IRL","Ireland",10,"Kilkenny","IE.KK",NA,"","Administrative County","County","","Cill Chainnigh"
11,109,"IRL","Ireland",11,"Laoighis","IE.LS",NA,"","Administrative County","County","","Laois|Leix|Queens"
12,109,"IRL","Ireland",12,"Leitrim","IE.LM",NA,"","Administrative County","County","","Liatroim"
13,109,"IRL","Ireland",13,"Limerick","IE.LK",NA,"","Traditional County","County","","Luimneach"
14,109,"IRL","Ireland",14,"Longford","IE.LD",NA,"","Administrative County","County","","An Longfort"
15,109,"IRL","Ireland",15,"Louth","IE.LH",NA,"","Administrative County","County","","Lú"
16,109,"IRL","Ireland",16,"Mayo","IE.MO",NA,"","Administrative County","County","","Maigh Eo"
17,109,"IRL","Ireland",17,"Meath","IE.MH",NA,"","Administrative County","County","","An Mhí"
18,109,"IRL","Ireland",18,"Monaghan","IE.MN",NA,"","Administrative County","County","","Muineachán"
19,109,"IRL","Ireland",19,"Offaly","IE.OY",NA,"","Administrative County","County","","Uíbh Fhailí|Kings"
20,109,"IRL","Ireland",20,"Roscommon","IE.RN",NA,"","Administrative County","County","","Ros Comáin"
21,109,"IRL","Ireland",21,"Sligo","IE.SO",NA,"","Administrative County","County","","Sligeach"
22,109,"IRL","Ireland",22,"Tipperary","IE.TY",NA,"","Administrative County","County","","Tiobraid Árann"
23,109,"IRL","Ireland",23,"Waterford","IE.WD",NA,"","Traditional County","County","","Port Láirge"
24,109,"IRL","Ireland",24,"Westmeath","IE.WH",NA,"","Administrative County","County","","An Iarmhí"
25,109,"IRL","Ireland",25,"Wexford","IE.WX",NA,"","Administrative County","County","","Loch Garman"
26,109,"IRL","Ireland",26,"Wicklow","IE.WW",NA,"","Administrative County","County","","Cill Mhantáin"
